sep=; 
Time;Heater L;Heater R;TS-1;TS-2;TS-3;TS-4;T-Set;T-Actual;PWR-Heat;PWR-Fan;T-ColdJ;Mode
03:18,00;184,8;179,3;124,4;110,3;0,0;0,0;131;124,4; 65; 60;26,3;REFLOW
03:19,25;184,8;179,3;124,6;110,7;0,0;0,0;131;124,6; 68; 60;26,3;REFLOW
03:19,50;184,8;179,3;124,7;110,8;0,0;0,0;131;124,7; 67; 60;26,3;REFLOW
03:19,75;184,8;179,3;124,8;111,0;0,0;0,0;131;124,8; 66; 60;26,2;REFLOW
03:19,00;184,8;179,3;125,0;111,1;0,0;0,0;131;125,0; 63; 60;26,3;REFLOW
03:20,25;184,8;180,4;125,2;111,3;0,0;0,0;132;125,2; 65; 60;26,3;REFLOW
03:20,50;184,8;180,4;125,3;111,4;0,0;0,0;132;125,3; 66; 60;26,3;REFLOW
03:20,75;183,7;180,4;125,5;111,5;0,0;0,0;132;125,5; 63; 60;26,3;REFLOW
03:20,00;183,7;180,4;125,6;111,5;0,0;0,0;132;125,6; 63; 60;26,3;REFLOW
03:21,25;184,8;180,4;125,8;111,5;0,0;0,0;132;125,8; 65; 60;26,3;REFLOW
03:21,50;183,7;181,5;125,9;111,5;0,0;0,0;132;125,9; 66; 60;26,3;REFLOW
03:21,75;183,7;181,5;126,1;111,5;0,0;0,0;132;126,1; 65; 60;26,3;REFLOW
03:21,00;183,7;181,5;126,2;111,5;0,0;0,0;132;126,2; 64; 60;26,3;REFLOW
03:22,25;184,8;181,5;126,4;111,5;0,0;0,0;133;126,4; 66; 60;26,2;REFLOW
03:22,50;184,8;181,5;126,5;111,5;0,0;0,0;133;126,5; 66; 60;26,2;REFLOW
03:22,75;185,9;181,5;126,6;111,6;0,0;0,0;133;126,6; 67; 60;26,3;REFLOW
03:22,00;185,9;181,5;126,7;111,7;0,0;0,0;133;126,7; 65; 60;26,2;REFLOW
03:23,25;187,0;181,5;126,7;111,7;0,0;0,0;133;126,7; 72; 60;26,2;REFLOW
03:23,50;185,9;181,5;126,9;111,8;0,0;0,0;133;126,9; 67; 60;26,2;REFLOW
03:23,75;187,0;181,5;127,0;111,9;0,0;0,0;133;127,0; 67; 60;26,3;REFLOW
03:23,00;187,0;182,6;127,1;112,1;0,0;0,0;133;127,1; 66; 60;26,3;REFLOW
03:24,25;187,0;182,6;127,1;112,1;0,0;0,0;134;127,1; 73; 60;26,2;REFLOW
03:24,50;187,0;182,6;127,3;112,2;0,0;0,0;134;127,3; 70; 60;26,3;REFLOW
03:24,75;187,0;182,6;127,4;112,3;0,0;0,0;134;127,4; 67; 60;26,3;REFLOW
03:24,00;187,0;182,6;127,6;112,4;0,0;0,0;134;127,6; 67; 60;26,3;REFLOW
03:25,25;187,0;182,6;127,8;112,6;0,0;0,0;135;127,8; 69; 60;26,3;REFLOW
03:25,50;187,0;183,7;127,9;112,8;0,0;0,0;135;127,9; 70; 60;26,2;REFLOW
03:25,75;187,0;183,7;128,1;112,9;0,0;0,0;135;128,1; 67; 60;26,2;REFLOW
03:25,00;187,0;183,7;128,2;113,0;0,0;0,0;135;128,2; 67; 60;26,3;REFLOW
03:26,25;187,0;183,7;128,3;113,2;0,0;0,0;135;128,3; 73; 60;26,3;REFLOW
03:26,50;187,0;183,7;128,4;113,2;0,0;0,0;135;128,4; 71; 60;26,3;REFLOW
03:26,75;187,0;183,7;128,4;113,3;0,0;0,0;135;128,4; 71; 60;26,3;REFLOW
03:26,00;187,0;183,7;128,6;113,4;0,0;0,0;135;128,6; 67; 60;26,3;REFLOW
03:27,25;187,0;184,8;128,7;113,6;0,0;0,0;136;128,7; 74; 60;26,3;REFLOW
03:27,50;187,0;184,8;128,8;113,8;0,0;0,0;136;128,8; 72; 60;26,3;REFLOW
03:27,75;187,0;184,8;128,9;113,8;0,0;0,0;136;128,9; 71; 60;26,3;REFLOW
03:27,00;187,0;184,8;129,1;113,9;0,0;0,0;136;129,1; 70; 60;26,3;REFLOW
03:28,25;187,0;184,8;129,3;114,1;0,0;0,0;136;129,3; 72; 60;26,3;REFLOW
03:28,50;187,0;184,8;129,4;114,3;0,0;0,0;136;129,4; 72; 60;26,2;REFLOW
03:28,75;187,0;184,8;129,6;114,4;0,0;0,0;136;129,6; 70; 60;26,3;REFLOW
03:28,00;188,1;184,8;129,7;114,6;0,0;0,0;136;129,7; 70; 60;26,3;REFLOW
03:29,25;188,1;185,9;129,8;114,7;0,0;0,0;137;129,8; 74; 60;26,3;REFLOW
03:29,50;188,1;185,9;129,9;114,8;0,0;0,0;137;129,9; 73; 60;26,3;REFLOW
03:29,75;188,1;185,9;130,1;115,0;0,0;0,0;137;130,1; 72; 60;26,3;REFLOW
03:29,00;188,1;185,9;130,3;115,1;0,0;0,0;137;130,3; 69; 60;26,3;REFLOW
03:30,25;188,1;187,0;130,3;115,4;0,0;0,0;138;130,3; 78; 60;26,1;REFLOW
03:30,50;188,1;187,0;130,4;115,5;0,0;0,0;138;130,4; 74; 60;26,1;REFLOW
03:30,75;188,1;187,0;130,5;115,7;0,0;0,0;138;130,5; 73; 60;26,3;REFLOW
03:30,00;189,2;187,0;130,6;115,8;0,0;0,0;138;130,6; 72; 60;26,3;REFLOW
03:31,25;189,2;187,0;130,8;116,1;0,0;0,0;139;130,8; 77; 60;26,3;REFLOW
03:31,50;189,2;187,0;130,9;116,2;0,0;0,0;139;130,9; 78; 60;26,3;REFLOW
03:31,75;189,2;187,0;131,1;116,4;0,0;0,0;139;131,1; 75; 60;26,3;REFLOW
03:31,00;189,2;187,0;131,2;116,5;0,0;0,0;139;131,2; 77; 60;26,3;REFLOW
03:32,25;189,2;187,0;131,4;116,6;0,0;0,0;140;131,4; 81; 60;26,3;REFLOW
03:32,50;189,2;188,1;131,5;116,8;0,0;0,0;140;131,5; 81; 60;26,3;REFLOW
03:32,75;189,2;188,1;131,6;116,9;0,0;0,0;140;131,6; 80; 60;26,3;REFLOW
03:32,00;190,3;188,1;131,8;117,1;0,0;0,0;140;131,8; 78; 60;26,3;REFLOW
03:33,25;190,3;188,1;131,9;117,3;0,0;0,0;141;131,9; 86; 60;26,3;REFLOW
03:33,50;190,3;188,1;132,1;117,4;0,0;0,0;141;132,1; 83; 60;26,3;REFLOW
03:33,75;190,3;189,2;132,3;117,5;0,0;0,0;141;132,3; 82; 60;26,3;REFLOW
03:33,00;191,4;189,2;132,6;117,6;0,0;0,0;141;132,6; 77; 60;26,3;REFLOW
03:34,25;191,4;189,2;132,8;117,8;0,0;0,0;142;132,8; 87; 60;26,3;REFLOW
03:34,50;191,4;189,2;132,9;117,9;0,0;0,0;142;132,9; 86; 60;26,4;REFLOW
03:34,75;191,4;189,2;133,1;118,1;0,0;0,0;142;133,1; 84; 60;26,3;REFLOW
